YEAR,temp_above_90,humidity_above_90,humidity_below_10,U_Wet-Hot,U_Dry-Hot,Name,,YEAR2,temp_above_90,humidity_above_90,humidity_below_10,R_Wet-Hot,R_Dry-Hot,Name2
2016,29,19,20,9,4,x1,,2016,29,23,17,11,3,x1
2017,34,8,13,1,2,x1,,2017,36,11,10,2,1,x1
2018,31,26,12,7,0,x1,,2018,26,28,13,10,0,x1
2019,18,15,7,4,0,x1,,2019,17,14,17,3,1,x1
2020,9,10,10,0,0,x1,,2020,12,10,11,0,1,x1
2021,15,21,6,6,0,x1,,2021,23,22,7,8,0,x1
2022,34,24,13,12,1,x1,,2022,35,28,15,15,1,x1
1981,13,19,10,2,0,x2,,1981,14,20,11,4,0,x2
1982,7,3,25,0,0,x2,,1982,9,7,31,1,0,x2
1983,4,10,3,0,0,x2,,1983,5,12,8,1,0,x2
1984,4,11,7,0,0,x2,,1984,8,8,10,0,0,x2
1985,5,9,7,0,0,x2,,1985,9,5,11,1,0,x2
1986,6,8,22,0,0,x2,,1986,7,11,22,1,0,x2
1987,5,11,12,0,0,x2,,1987,7,11,16,1,0,x2
1988,8,14,7,2,1,x2,,1988,6,15,9,0,1,x2
1989,5,14,7,2,0,x2,,1989,5,18,7,2,0,x2
1990,8,4,15,0,0,x2,,1990,10,5,12,0,0,x2
1991,19,11,21,1,2,x2,,1991,18,14,18,1,1,x2
1992,5,15,9,2,1,x2,,1992,7,14,10,3,0,x2
1993,1,5,11,0,0,x2,,1993,2,2,13,0,0,x2
1994,9,17,10,0,1,x2,,1994,11,13,9,1,0,x2
1995,16,11,23,6,3,x2,,1995,17,13,23,7,1,x2
1996,7,12,15,1,1,x2,,1996,9,13,10,1,0,x2
1997,22,11,30,1,7,x2,,1997,22,10,23,1,3,x2
1998,18,22,4,4,1,x2,,1998,22,21,4,8,0,x2
1999,19,18,10,3,2,x2,,1999,21,21,7,6,0,x2
2000,25,12,21,0,6,x2,,2000,23,16,16,2,3,x2
2001,23,9,20,4,11,x2,,2001,22,10,15,5,5,x2
2002,24,27,16,5,0,x2,,2002,20,25,15,4,0,x2
2003,13,23,18,4,1,x2,,2003,14,19,13,5,1,x2
2004,11,8,35,1,5,x2,,2004,12,9,41,1,5,x2
2005,22,15,6,3,2,x2,,2005,19,16,5,4,0,x2
2006,39,28,24,13,6,x2,,2006,37,29,21,14,2,x2
2007,23,24,9,5,1,x2,,2007,22,20,7,6,0,x2
2008,26,9,24,3,5,x2,,2008,24,11,24,4,4,x2
2009,16,19,13,5,0,x2,,2009,13,21,18,5,1,x2
2010,31,28,12,11,3,x2,,2010,29,27,12,12,2,x2
2011,27,17,25,1,7,x2,,2011,26,21,24,6,5,x2
2012,10,31,8,2,0,x2,,2012,10,27,7,3,0,x2
2013,34,31,10,11,2,x2,,2013,37,29,12,13,2,x2
2014,14,13,14,1,1,x2,,2014,13,9,16,1,0,x2
2015,19,12,22,3,2,x2,,2015,14,13,21,3,0,x2
2016,36,27,11,12,6,x2,,2016,37,26,3,14,1,x2
2017,30,20,14,7,7,x2,,2017,30,19,11,8,6,x2
2018,27,49,5,12,0,x2,,2018,30,48,5,15,0,x2
2019,13,19,8,3,1,x2,,2019,11,20,9,4,1,x2
2020,6,21,5,0,0,x2,,2020,9,18,5,1,0,x2
2021,21,21,10,6,3,x2,,2021,27,22,11,8,1,x2
2022,38,45,14,21,7,x2,,2022,41,48,14,22,6,x2
1981,15,12,17,2,1,x3,,1981,14,14,16,2,0,x3
1982,11,6,23,2,2,x3,,1982,9,7,24,1,1,x3
1983,4,15,4,1,0,x3,,1983,3,11,7,1,0,x3
1984,4,24,7,2,0,x3,,1984,5,19,5,3,0,x3
1985,8,11,7,1,0,x3,,1985,8,13,5,1,0,x3
1986,10,6,15,0,1,x3,,1986,13,7,17,0,1,x3
1987,11,15,10,0,1,x3,,1987,15,15,13,4,0,x3
1988,5,29,6,2,0,x3,,1988,5,29,9,3,0,x3
1989,5,16,11,3,0,x3,,1989,7,14,11,3,0,x3
1990,10,16,15,3,2,x3,,1990,12,13,13,3,0,x3
1991,11,15,19,2,1,x3,,1991,10,15,16,2,0,x3
1992,4,12,8,0,1,x3,,1992,4,14,11,0,1,x3
1993,1,11,4,1,0,x3,,1993,1,9,6,0,0,x3
1994,26,12,23,3,1,x3,,1994,22,15,21,4,1,x3
1995,22,15,21,5,3,x3,,1995,19,18,20,5,3,x3
1996,5,21,12,1,0,x3,,1996,7,19,11,2,0,x3
1997,38,9,50,3,11,x3,,1997,35,9,45,2,9,x3
1998,9,23,6,3,0,x3,,1998,10,24,7,3,0,x3
1999,14,15,7,4,1,x3,,1999,11,14,8,4,0,x3
2000,16,16,20,4,3,x3,,2000,16,14,17,4,0,x3
2001,23,2,17,0,1,x3,,2001,21,3,15,1,2,x3
2002,39,6,15,1,6,x3,,2002,37,8,17,0,6,x3
2003,17,19,12,5,1,x3,,2003,17,19,13,7,1,x3
2004,20,6,22,1,4,x3,,2004,22,6,26,2,6,x3
2005,27,15,13,4,3,x3,,2005,26,15,14,6,3,x3
2006,34,19,19,4,3,x3,,2006,33,23,20,8,3,x3
2007,19,16,11,2,1,x3,,2007,16,16,11,1,1,x3
2008,6,9,27,2,0,x3,,2008,7,9,28,2,0,x3
2009,9,13,14,2,0,x3,,2009,9,12,18,2,1,x3
2010,19,25,9,11,2,x3,,2010,20,24,9,11,1,x3
2011,16,11,11,3,0,x3,,2011,16,11,18,4,0,x3
2012,8,14,13,2,0,x3,,2012,9,12,16,1,0,x3
2013,32,25,12,6,2,x3,,2013,29,30,9,7,0,x3
2014,16,11,20,0,3,x3,,2014,15,11,22,0,2,x3
2015,12,7,26,0,1,x3,,2015,11,6,25,0,1,x3
2016,32,14,19,4,4,x3,,2016,29,20,19,11,2,x3
2017,36,10,12,2,2,x3,,2017,36,9,13,0,4,x3
2018,28,27,12,7,1,x3,,2018,24,29,10,10,0,x3
2019,18,11,12,2,3,x3,,2019,19,12,9,4,1,x3
2020,10,15,10,0,2,x3,,2020,11,12,8,0,3,x3
2021,15,21,6,5,1,x3,,2021,19,21,6,6,0,x3
2022,36,20,13,10,2,x3,,2022,31,25,12,13,0,x3
1981,24,12,21,10,0,x4,,1981,22,13,20,8,0,x4
1982,7,6,17,3,0,x4,,1982,7,7,19,4,0,x4
1983,7,15,13,6,0,x4,,1983,6,17,13,5,0,x4
1984,8,16,18,6,0,x4,,1984,7,15,17,5,0,x4
1985,3,12,5,2,0,x4,,1985,5,13,6,3,0,x4
1986,12,9,13,5,0,x4,,1986,12,10,12,4,0,x4
1987,7,14,13,4,0,x4,,1987,7,14,14,4,0,x4
1988,27,12,7,6,0,x4,,1988,26,12,7,6,0,x4
1989,6,12,17,4,0,x4,,1989,6,12,16,4,0,x4
1990,11,20,11,8,0,x4,,1990,16,19,10,10,0,x4
1991,8,16,15,5,0,x4,,1991,8,17,15,6,0,x4
1992,12,7,15,4,0,x4,,1992,12,8,15,4,0,x4
1993,4,9,12,1,0,x4,,1993,4,12,11,1,0,x4
1994,25,23,8,13,0,x4,,1994,24,21,11,9,0,x4
1995,15,25,11,11,0,x4,,1995,15,26,10,12,0,x4
1996,4,14,8,4,0,x4,,1996,4,15,7,4,0,x4
1997,18,11,27,5,1,x4,,1997,18,11,26,4,1,x4
1998,13,29,7,10,0,x4,,1998,14,28,7,11,0,x4
1999,22,15,20,13,0,x4,,1999,22,14,21,12,0,x4
2000,12,15,12,4,0,x4,,2000,11,13,11,1,0,x4
2001,21,6,13,3,0,x4,,2001,24,7,15,5,0,x4
2002,14,18,19,10,0,x4,,2002,16,19,20,12,0,x4
2003,23,17,18,12,0,x4,,2003,22,19,17,11,0,x4
2004,16,7,18,3,0,x4,,2004,18,7,19,3,0,x4
2005,33,17,12,9,0,x4,,2005,32,12,11,6,0,x4
2006,23,19,9,11,0,x4,,2006,21,20,10,11,0,x4
2007,22,15,17,7,1,x4,,2007,20,15,19,7,1,x4
2008,8,11,17,5,1,x4,,2008,5,10,18,2,0,x4
2009,19,13,18,8,0,x4,,2009,20,13,16,8,0,x4
2010,30,25,14,18,0,x4,,2010,30,24,13,17,0,x4
2011,22,7,27,5,0,x4,,2011,21,6,27,5,0,x4
2012,28,9,19,6,1,x4,,2012,26,8,16,4,2,x4
2013,50,14,16,10,2,x4,,2013,46,13,14,9,0,x4
2014,12,4,21,1,0,x4,,2014,11,4,20,1,0,x4
2015,5,7,13,2,0,x4,,2015,4,5,13,1,0,x4
2016,29,26,19,18,0,x4,,2016,34,27,20,18,0,x4
2017,15,19,10,9,0,x4,,2017,16,17,9,8,0,x4
2018,22,23,9,11,0,x4,,2018,24,22,8,10,0,x4
2019,35,12,24,6,2,x4,,2019,37,10,25,7,3,x4
2020,24,9,15,5,4,x4,,2020,22,9,16,5,3,x4
2021,10,22,8,6,0,x4,,2021,13,21,7,8,0,x4
2022,50,23,15,19,0,x4,,2022,47,20,15,14,0,x4
1981,9,11,21,2,0,x5,,1981,11,11,23,3,0,x5
1982,9,5,12,1,0,x5,,1982,10,6,13,2,0,x5
1983,14,15,17,3,1,x5,,1983,12,12,15,3,0,x5
1984,7,13,15,2,3,x5,,1984,8,13,14,4,2,x5
1985,4,20,3,2,0,x5,,1985,4,18,4,2,0,x5
1986,23,7,9,2,1,x5,,1986,20,8,8,2,0,x5
1987,11,20,10,6,0,x5,,1987,15,21,12,8,0,x5
1988,10,16,8,6,1,x5,,1988,11,15,12,6,1,x5
1989,13,11,23,3,1,x5,,1989,8,14,23,3,0,x5
1990,11,24,5,9,0,x5,,1990,13,27,5,9,0,x5
1991,13,11,8,0,0,x5,,1991,10,13,10,1,0,x5
1992,12,4,17,1,3,x5,,1992,14,4,17,1,3,x5
1993,6,13,7,0,0,x5,,1993,5,14,7,0,0,x5
1994,18,35,16,6,0,x5,,1994,18,30,18,7,0,x5
1995,7,10,12,3,0,x5,,1995,8,11,13,4,0,x5
1996,6,14,17,1,2,x5,,1996,8,14,17,2,2,x5
1997,39,9,30,8,8,x5,,1997,36,8,35,6,7,x5
1998,15,32,3,11,0,x5,,1998,18,29,3,12,0,x5
1999,20,9,14,6,3,x5,,1999,17,10,13,5,2,x5
2000,15,13,12,1,1,x5,,2000,16,11,13,3,1,x5
2001,16,11,16,5,0,x5,,2001,15,10,16,5,0,x5
2002,35,13,24,8,3,x5,,2002,33,14,21,7,2,x5
2003,10,18,12,7,0,x5,,2003,9,18,12,7,0,x5
2004,10,8,20,4,1,x5,,2004,8,8,18,4,0,x5
2005,16,18,16,4,1,x5,,2005,20,17,16,6,1,x5
2006,17,19,15,6,2,x5,,2006,13,19,16,6,1,x5
2007,20,12,15,3,2,x5,,2007,19,12,13,3,1,x5
2008,15,11,19,4,1,x5,,2008,15,10,21,4,0,x5
2009,24,11,26,2,8,x5,,2009,23,11,25,2,7,x5
2010,21,16,10,8,0,x5,,2010,24,16,11,8,0,x5
2011,20,5,18,2,0,x5,,2011,21,4,19,2,0,x5
2012,24,6,22,3,3,x5,,2012,26,6,21,3,4,x5
2013,44,24,20,7,8,x5,,2013,42,26,17,12,2,x5
2014,19,5,19,1,3,x5,,2014,19,5,20,1,3,x5
2015,18,0,21,0,3,x5,,2015,14,0,21,0,2,x5
2016,28,27,19,15,0,x5,,2016,26,27,18,13,1,x5
2017,56,13,12,6,3,x5,,2017,53,10,10,7,2,x5
2018,38,18,12,9,3,x5,,2018,38,16,13,9,2,x5
2019,55,8,36,4,14,x5,,2019,51,6,33,3,13,x5
2020,33,7,25,3,9,x5,,2020,26,6,24,3,5,x5
2021,26,24,17,8,7,x5,,2021,23,21,17,7,5,x5
2022,47,17,22,13,2,x5,,2022,49,18,20,15,2,x5
1981,13,14,19,2,1,x6_1,,1981,14,14,18,2,1,x6_1
1982,11,7,19,3,1,x6_1,,1982,10,7,18,3,1,x6_1
1983,14,12,19,5,0,x6_1,,1983,14,12,19,5,0,x6_1
1984,7,12,13,4,0,x6_1,,1984,6,13,13,4,0,x6_1
1985,7,14,3,4,0,x6_1,,1985,7,13,3,4,0,x6_1
1986,15,10,14,4,1,x6_1,,1986,15,10,14,4,1,x6_1
1987,10,23,11,8,0,x6_1,,1987,12,23,12,9,0,x6_1
1988,9,15,9,3,0,x6_1,,1988,9,15,10,3,0,x6_1
1989,7,7,22,1,1,x6_1,,1989,6,6,19,1,1,x6_1
1990,10,28,4,8,0,x6_1,,1990,9,28,4,7,0,x6_1
1991,10,18,9,4,0,x6_1,,1991,10,18,10,5,0,x6_1
1992,15,6,21,1,2,x6_1,,1992,15,5,23,1,2,x6_1
1993,3,12,9,2,0,x6_1,,1993,3,12,9,2,0,x6_1
1994,21,32,17,11,0,x6_1,,1994,18,34,16,10,0,x6_1
1995,3,9,14,0,0,x6_1,,1995,3,10,14,0,0,x6_1
1996,5,17,18,1,0,x6_1,,1996,5,16,16,1,0,x6_1
1997,34,9,29,7,5,x6_1,,1997,34,9,28,7,4,x6_1
1998,21,25,5,13,0,x6_1,,1998,21,26,5,13,0,x6_1
1999,26,9,9,4,0,x6_1,,1999,27,8,10,4,0,x6_1
2000,24,9,13,3,2,x6_1,,2000,24,9,13,4,2,x6_1
2001,18,11,9,3,1,x6_1,,2001,18,13,10,4,1,x6_1
2002,35,13,28,11,4,x6_1,,2002,34,14,27,12,4,x6_1
2003,7,12,13,5,0,x6_1,,2003,7,11,12,5,0,x6_1
2004,6,7,20,1,0,x6_1,,2004,6,8,21,1,0,x6_1
2005,16,14,14,6,0,x6_1,,2005,15,15,14,6,0,x6_1
2006,19,13,17,7,0,x6_1,,2006,17,13,17,7,1,x6_1
2007,19,16,9,6,1,x6_1,,2007,19,16,10,6,1,x6_1
2008,12,23,10,12,0,x6_1,,2008,12,23,10,12,0,x6_1
2009,19,9,24,2,5,x6_1,,2009,19,10,25,2,6,x6_1
2010,22,15,14,9,0,x6_1,,2010,22,16,14,10,0,x6_1
2011,12,6,17,2,0,x6_1,,2011,11,5,18,2,0,x6_1
2012,16,17,19,5,0,x6_1,,2012,18,17,21,6,1,x6_1
2013,24,32,8,11,0,x6_1,,2013,24,32,8,11,0,x6_1
2014,17,7,20,2,2,x6_1,,2014,18,7,19,2,3,x6_1
2015,19,3,21,2,2,x6_1,,2015,19,3,21,2,2,x6_1
2016,16,28,18,13,0,x6_1,,2016,16,27,18,13,0,x6_1
2017,41,17,6,13,0,x6_1,,2017,42,16,5,13,0,x6_1
2018,26,18,10,8,1,x6_1,,2018,25,19,10,8,1,x6_1
2019,41,10,22,6,5,x6_1,,2019,35,10,22,5,5,x6_1
2020,15,9,9,5,0,x6_1,,2020,16,10,9,5,0,x6_1
2021,17,22,14,10,2,x6_1,,2021,14,22,13,8,1,x6_1
2022,34,21,14,12,1,x6_1,,2022,34,22,13,13,1,x6_1
1981,16,12,17,1,2,x6_2,,1981,16,15,11,2,2,x6_2
1982,11,7,17,2,1,x6_2,,1982,9,7,20,2,1,x6_2
1983,10,17,17,2,1,x6_2,,1983,11,16,17,2,1,x6_2
1984,7,10,10,2,0,x6_2,,1984,7,9,11,2,0,x6_2
1985,7,15,2,3,0,x6_2,,1985,5,14,2,3,0,x6_2
1986,16,2,15,1,2,x6_2,,1986,13,4,11,3,0,x6_2
1987,17,17,11,2,1,x6_2,,1987,18,16,12,4,0,x6_2
1988,8,20,7,1,0,x6_2,,1988,9,21,9,1,0,x6_2
1989,6,10,19,2,1,x6_2,,1989,6,11,18,2,1,x6_2
1990,8,28,3,5,0,x6_2,,1990,8,29,4,5,0,x6_2
1991,8,18,11,3,0,x6_2,,1991,8,18,10,3,0,x6_2
1992,10,6,20,0,2,x6_2,,1992,11,5,19,1,3,x6_2
1993,4,11,12,2,0,x6_2,,1993,4,11,13,2,0,x6_2
1994,13,35,15,4,0,x6_2,,1994,12,37,14,4,0,x6_2
1995,4,11,17,0,1,x6_2,,1995,3,10,18,0,0,x6_2
1996,6,13,15,1,0,x6_2,,1996,6,15,14,2,0,x6_2
1997,42,6,31,4,8,x6_2,,1997,42,6,30,4,7,x6_2
1998,25,24,8,12,0,x6_2,,1998,28,24,4,13,0,x6_2
1999,23,6,10,4,1,x6_2,,1999,21,7,11,4,1,x6_2
2000,14,14,11,1,2,x6_2,,2000,16,14,10,1,2,x6_2
2001,26,10,12,2,5,x6_2,,2001,26,9,14,3,6,x6_2
2002,31,19,18,12,1,x6_2,,2002,30,18,19,12,1,x6_2
2003,3,22,16,2,0,x6_2,,2003,3,20,16,2,0,x6_2
2004,10,11,19,1,1,x6_2,,2004,9,10,19,3,0,x6_2
2005,20,14,18,4,1,x6_2,,2005,20,12,18,5,1,x6_2
2006,12,13,12,4,1,x6_2,,2006,13,15,12,4,1,x6_2
2007,20,9,14,3,1,x6_2,,2007,21,11,15,5,1,x6_2
2008,10,12,11,4,0,x6_2,,2008,10,12,11,4,0,x6_2
2009,24,10,34,2,12,x6_2,,2009,26,11,34,2,12,x6_2
2010,25,9,15,7,1,x6_2,,2010,26,9,14,7,0,x6_2
2011,10,4,20,2,0,x6_2,,2011,11,4,20,2,0,x6_2
2012,18,13,24,4,3,x6_2,,2012,20,11,23,4,4,x6_2
2013,24,31,11,11,1,x6_2,,2013,25,32,11,10,1,x6_2
2014,14,9,23,0,5,x6_2,,2014,13,8,23,0,4,x6_2
2015,18,3,24,0,7,x6_2,,2015,20,2,23,0,5,x6_2
2016,14,21,18,9,0,x6_2,,2016,15,23,19,10,0,x6_2
2017,46,13,12,9,0,x6_2,,2017,43,14,13,7,0,x6_2
2018,35,24,13,9,4,x6_2,,2018,29,26,12,10,3,x6_2
2019,43,6,22,2,5,x6_2,,2019,39,7,22,2,5,x6_2
2020,16,12,14,4,1,x6_2,,2020,14,10,11,4,0,x6_2
2021,15,20,16,4,1,x6_2,,2021,16,21,14,5,1,x6_2
2022,27,21,15,8,2,x6_2,,2022,28,21,15,7,1,x6_2
1981,14,13,28,6,0,x7,,1981,14,12,28,6,0,x7
1982,13,11,20,6,0,x7,,1982,11,12,19,5,0,x7
1983,12,17,12,5,0,x7,,1983,12,18,13,5,0,x7
1984,11,13,14,7,0,x7,,1984,11,13,15,7,0,x7
1985,6,14,1,6,0,x7,,1985,7,16,0,7,0,x7
1986,9,8,19,2,0,x7,,1986,9,9,19,2,0,x7
1987,8,15,19,6,0,x7,,1987,9,13,18,6,0,x7
1988,18,13,14,7,0,x7,,1988,19,13,13,8,0,x7
1989,6,7,20,4,0,x7,,1989,5,7,18,4,0,x7
1990,17,24,6,10,0,x7,,1990,17,26,5,9,0,x7
1991,4,13,14,2,0,x7,,1991,5,14,13,3,0,x7
1992,13,8,23,2,1,x7,,1992,13,8,23,1,1,x7
1993,2,17,15,2,0,x7,,1993,2,16,14,2,0,x7
1994,33,22,11,14,0,x7,,1994,33,18,11,10,0,x7
1995,13,24,16,8,0,x7,,1995,12,21,15,8,0,x7
1996,9,17,14,8,0,x7,,1996,8,17,14,7,0,x7
1997,18,15,29,10,0,x7,,1997,18,15,26,10,0,x7
1998,16,21,2,9,0,x7,,1998,16,21,2,9,0,x7
1999,20,14,18,9,0,x7,,1999,18,13,18,9,0,x7
2000,10,9,10,1,0,x7,,2000,10,10,10,1,0,x7
2001,21,9,15,5,2,x7,,2001,21,10,15,6,2,x7
2002,19,11,16,6,0,x7,,2002,19,12,19,7,0,x7
2003,12,17,15,8,0,x7,,2003,12,17,15,9,0,x7
2004,16,7,9,4,0,x7,,2004,16,8,11,6,0,x7
2005,27,19,14,7,0,x7,,2005,27,18,12,8,0,x7
2006,21,16,17,7,3,x7,,2006,20,16,17,7,2,x7
2007,25,19,12,11,0,x7,,2007,22,20,11,12,0,x7
2008,6,18,10,4,0,x7,,2008,5,18,8,3,0,x7
2009,14,9,14,4,0,x7,,2009,17,10,15,5,0,x7
2010,33,21,11,14,0,x7,,2010,33,21,11,14,0,x7
2011,17,12,23,5,1,x7,,2011,17,15,21,5,1,x7
2012,21,7,12,3,0,x7,,2012,21,8,12,3,0,x7
2013,40,26,13,15,0,x7,,2013,39,26,13,16,0,x7
2014,15,9,16,3,1,x7,,2014,14,10,17,4,1,x7
2015,9,3,16,2,2,x7,,2015,9,4,16,2,2,x7
2016,33,24,24,16,0,x7,,2016,32,24,23,15,0,x7
2017,34,21,11,12,0,x7,,2017,35,21,11,14,0,x7
2018,25,24,6,16,0,x7,,2018,26,26,6,17,0,x7
2019,24,9,16,5,0,x7,,2019,25,10,16,5,0,x7
2020,26,20,11,11,0,x7,,2020,26,20,11,11,0,x7
2021,17,22,6,11,0,x7,,2021,17,20,6,11,0,x7
2022,37,25,16,16,0,x7,,2022,37,27,17,15,0,x7
1981,8,17,13,7,0,x8,,1981,9,19,12,7,0,x8
1982,2,16,22,2,0,x8,,1982,3,17,21,2,0,x8
1983,16,13,9,2,5,x8,,1983,18,13,10,2,3,x8
1984,4,10,10,2,0,x8,,1984,4,11,15,1,0,x8
1985,2,9,13,1,0,x8,,1985,3,9,15,1,0,x8
1986,11,11,38,1,4,x8,,1986,10,13,38,1,4,x8
1987,10,17,21,5,0,x8,,1987,11,20,21,5,0,x8
1988,17,21,7,5,0,x8,,1988,20,22,7,7,0,x8
1989,20,17,19,4,2,x8,,1989,16,14,16,4,2,x8
1990,8,8,12,2,0,x8,,1990,7,9,10,3,0,x8
1991,24,10,14,2,0,x8,,1991,26,9,16,2,0,x8
1992,7,8,21,2,0,x8,,1992,10,8,21,2,0,x8
1993,10,20,11,2,0,x8,,1993,9,18,13,2,0,x8
1994,8,9,15,2,0,x8,,1994,7,10,14,2,0,x8
1995,23,23,20,12,0,x8,,1995,22,22,17,10,0,x8
1996,9,8,5,1,0,x8,,1996,9,8,6,2,0,x8
1997,2,10,18,1,0,x8,,1997,2,13,22,1,0,x8
1998,17,12,11,2,0,x8,,1998,15,16,8,1,0,x8
1999,6,16,5,1,0,x8,,1999,6,17,4,2,0,x8
2000,14,13,26,5,0,x8,,2000,13,13,25,6,0,x8
2001,5,15,8,4,0,x8,,2001,5,16,8,5,0,x8
2002,24,8,15,5,1,x8,,2002,24,9,13,5,0,x8
2003,21,8,11,3,2,x8,,2003,25,8,13,3,2,x8
2004,37,17,31,5,8,x8,,2004,33,16,29,4,7,x8
2005,19,15,9,8,1,x8,,2005,21,14,8,7,0,x8
2006,10,27,15,9,0,x8,,2006,11,26,12,7,0,x8
2007,32,16,7,8,4,x8,,2007,28,16,10,6,3,x8
2008,25,20,12,11,0,x8,,2008,25,17,11,11,0,x8
2009,28,18,16,3,3,x8,,2009,29,19,15,4,3,x8
2010,29,26,12,9,4,x8,,2010,29,19,11,7,4,x8
2011,36,11,8,6,1,x8,,2011,32,13,8,6,1,x8
2012,19,16,7,9,0,x8,,2012,16,14,8,6,0,x8
2013,18,29,10,13,0,x8,,2013,19,29,11,12,0,x8
2014,45,41,8,19,3,x8,,2014,37,43,6,17,2,x8
2015,31,23,14,12,1,x8,,2015,29,21,12,9,1,x8
2016,33,57,5,21,0,x8,,2016,29,56,5,18,0,x8
2017,43,27,6,17,1,x8,,2017,42,26,8,14,1,x8
2018,39,23,22,8,3,x8,,2018,33,29,21,7,1,x8
2019,33,40,17,21,0,x8,,2019,31,42,18,15,0,x8
2020,57,23,2,10,1,x8,,2020,52,21,2,6,1,x8
2021,57,33,7,20,1,x8,,2021,58,35,6,19,2,x8
2022,42,21,13,8,4,x8,,2022,39,19,10,8,1,x8
1981,21,9,34,2,5,y1_1,,1981,16,7,33,2,4,y1_1
1982,16,8,26,3,0,y1_1,,1982,14,9,25,2,0,y1_1
1983,14,20,19,7,1,y1_1,,1983,15,20,15,8,1,y1_1
1984,4,10,5,2,0,y1_1,,1984,2,14,5,1,0,y1_1
1985,1,8,2,0,0,y1_1,,1985,1,6,2,0,0,y1_1
1986,12,6,27,2,2,y1_1,,1986,14,9,27,3,1,y1_1
1987,5,8,14,2,0,y1_1,,1987,6,7,18,3,0,y1_1
1988,13,15,11,3,1,y1_1,,1988,12,15,10,3,0,y1_1
1989,18,7,27,1,1,y1_1,,1989,16,9,26,1,2,y1_1
1990,9,27,5,6,0,y1_1,,1990,10,28,5,6,0,y1_1
1991,12,18,12,6,0,y1_1,,1991,12,15,13,5,0,y1_1
1992,12,8,28,5,0,y1_1,,1992,16,9,29,5,3,y1_1
1993,4,12,13,2,0,y1_1,,1993,3,11,15,2,0,y1_1
1994,33,36,10,17,1,y1_1,,1994,36,31,10,14,1,y1_1
1995,3,12,14,2,0,y1_1,,1995,3,10,14,2,0,y1_1
1996,6,13,10,2,0,y1_1,,1996,5,13,8,2,0,y1_1
1997,30,13,31,6,5,y1_1,,1997,31,16,30,7,5,y1_1
1998,13,27,3,9,0,y1_1,,1998,16,25,3,12,0,y1_1
1999,22,12,15,8,2,y1_1,,1999,26,12,18,9,2,y1_1
2000,25,10,12,5,3,y1_1,,2000,21,11,13,4,3,y1_1
2001,19,13,6,4,0,y1_1,,2001,18,12,7,4,0,y1_1
2002,14,13,19,4,0,y1_1,,2002,16,10,23,4,0,y1_1
2003,4,10,16,2,0,y1_1,,2003,5,9,17,2,0,y1_1
2004,8,13,9,6,0,y1_1,,2004,10,14,10,6,0,y1_1
2005,21,16,13,5,0,y1_1,,2005,17,18,14,5,0,y1_1
2006,20,13,12,8,0,y1_1,,2006,17,13,10,7,0,y1_1
2007,17,17,5,8,0,y1_1,,2007,22,19,5,9,0,y1_1
2008,5,19,6,4,0,y1_1,,2008,5,18,7,5,0,y1_1
2009,15,11,12,1,0,y1_1,,2009,16,11,16,1,1,y1_1
2010,20,23,10,12,0,y1_1,,2010,22,22,11,12,0,y1_1
2011,7,13,18,2,3,y1_1,,2011,5,12,16,2,2,y1_1
2012,11,11,5,3,1,y1_1,,2012,11,7,7,2,0,y1_1
2013,32,38,8,22,0,y1_1,,2013,31,37,9,21,1,y1_1
2014,18,9,18,2,3,y1_1,,2014,14,7,18,2,3,y1_1
2015,11,3,19,0,1,y1_1,,2015,12,4,17,1,2,y1_1
2016,34,22,15,12,1,y1_1,,2016,34,24,13,12,1,y1_1
2017,37,26,18,14,1,y1_1,,2017,41,25,21,14,2,y1_1
2018,29,27,5,15,0,y1_1,,2018,30,27,5,12,0,y1_1
2019,43,9,29,6,6,y1_1,,2019,35,9,24,4,3,y1_1
2020,10,19,9,5,0,y1_1,,2020,13,21,7,6,0,y1_1
2021,9,14,9,3,1,y1_1,,2021,15,16,10,5,2,y1_1
2022,28,27,18,9,1,y1_1,,2022,31,27,19,9,1,y1_1
1981,17,11,31,4,1,y1_2,,1981,18,10,33,4,1,y1_2
1982,13,11,20,4,0,y1_2,,1982,13,11,19,4,0,y1_2
1983,15,16,18,7,1,y1_2,,1983,16,18,16,8,0,y1_2
1984,7,14,6,4,0,y1_2,,1984,6,16,7,4,0,y1_2
1985,1,9,2,0,0,y1_2,,1985,1,10,2,0,0,y1_2
1986,7,5,21,2,0,y1_2,,1986,9,7,23,3,0,y1_2
1987,10,13,16,4,0,y1_2,,1987,11,14,17,5,0,y1_2
1988,15,9,12,4,0,y1_2,,1988,15,11,12,4,0,y1_2
1989,9,8,24,0,0,y1_2,,1989,12,7,25,1,1,y1_2
1990,10,31,3,8,0,y1_2,,1990,11,27,3,8,0,y1_2
1991,11,15,7,4,0,y1_2,,1991,12,14,6,4,0,y1_2
1992,14,6,25,3,1,y1_2,,1992,13,7,23,3,1,y1_2
1993,3,10,11,2,0,y1_2,,1993,4,9,13,3,0,y1_2
1994,33,33,10,18,1,y1_2,,1994,33,34,9,18,1,y1_2
1995,5,12,17,2,0,y1_2,,1995,6,12,17,2,0,y1_2
1996,2,15,9,1,0,y1_2,,1996,4,14,10,1,0,y1_2
1997,24,16,22,6,1,y1_2,,1997,24,16,22,6,2,y1_2
1998,12,20,2,6,0,y1_2,,1998,12,22,2,7,0,y1_2
